Sample_ID,Depth,MS25,MS50,MS75,Weighted_EMF,SOC,Amino sugars,BG,NAG,MUP,Available N,Available P,NPP,NDVI,Pathogen_control,Bacteria_richness,Fungi_richness,Mycorrhizal,Endophyte,Saprotroph,Carbon sequestration,Organic matter decomposition,Nutrient cycling,Plant productivity,Pathogen control,Soil biodiversity,Aridity,Warming,Maximum temperature,Extreme events,Seasonality,Human_influence,Salinity,Distance from neutral pH
W94,C_Deepsoil,4,3,0,0.220653379,0.141608392,0.129816871,0.006380821,0.00705702,0.023313538,0,0.028953124,0,0.892029835,0.439128918,0.248569092,0.304104478,0.024390244,0,0.527777778,0.135712631,0.01225046,0.014476562,0.446014918,0.439128918,0.276336785,56.3968395,15.64541214,62.2047244,4.095863268,25.1771659,61.26050461,23.509842,5.904059
W97,C_Deepsoil,5,4,1,0.297362638,0.351398601,0.110343195,0.206026212,0.227346136,0.110638356,0.35606751,0.096386935,0.101056065,0.354665265,0.60547167,0.39533933,0.229477612,0.048780488,0,0.402777778,0.230870898,0.181336901,0.226227222,0.227860665,0.60547167,0.312408471,86.5260845,58.50300618,0,57.78477611,61.82150764,7.802540525,2.5783199,46.4944649
W100,C_Deepsoil,6,3,0,0.357333009,0.196678322,0.123004903,0.013498774,0.011433053,0.031287726,0.061708313,0.042439886,0.482834927,0.873089829,0.875766183,0.506541292,0.212686567,0.097560976,0,0.3125,0.159841612,0.018739851,0.0520741,0.677962378,0.875766183,0.35961393,64.2090942,26.06672956,62.2047244,18.02511195,31.45357652,66.69697978,30.135847,24.3542435
W103,C_Deepsoil,7,5,2,0.30842407,0.19493007,0.153811495,0.042086661,0.016915024,0.020663208,0.67339532,0.249236906,0.212608432,0.373908474,0.273085165,0.622649223,0.621268657,0.170731707,0,0.527777778,0.174370782,0.026554965,0.461316113,0.293258453,0.273085165,0.62195894,86.379572,45.63858847,57.480315,42.11208711,96.88463928,64.00437055,16.675908,52.7675277
W106,C_Deepsoil,6,3,2,0.426662929,0.195804196,0.156293434,0.056683254,0.038820573,0.012081012,0.461593039,0.447042751,0.466356536,0.921915427,0.514725669,0.679476697,0.690298507,0.158536585,0,0.652777778,0.176048815,0.035861613,0.454317895,0.694135982,0.514725669,0.684887602,70.2579666,21.83161012,44.488189,100,86.52937515,25.12985343,34.9875243,0
W109,C_Deepsoil,6,5,1,0.314054145,0.153846154,0.190437279,0.018297913,0,0.021273917,0.349186032,0.145838396,0.204213401,0.452417529,0.891961928,0.372853639,0.089552239,0,0,0.145833333,0.172141717,0.01319061,0.247512214,0.328315465,0.891961928,0.231202939,72.5655382,60.3155184,57.8740157,29.41869015,80.52945602,67.85274258,4.6853341,11.8081181
W112,C_Deepsoil,6,3,2,0.458546533,0.424825175,0.328119988,0.153479737,0.068964415,0.021247997,0.373332958,0.10537811,0.254136187,0.511269,0.839487716,0.831970564,0.832089552,0,0,0.8125,0.376472582,0.081230716,0.239355534,0.382702593,0.839487716,0.832030058,85.9661975,73.73971664,40.9448819,43.3292021,100,34.61119448,12.6559468,13.6531365
W115,C_Deepsoil,6,5,3,0.291855049,0.511363636,0.132741741,0.038539455,0.026420114,0.02100498,0.568977791,0.078404585,0.033305652,0.706510754,0.334429661,0.619787408,0.125,0.036585366,0,0.159722222,0.322052689,0.02865485,0.323691188,0.369908203,0.334429661,0.372393704,100,67.90042575,100,24.12321965,71.53189061,2.818067866,41.6412531,94.4649446
W118,C_Deepsoil,7,4,2,0.38878139,0.214160839,0.038466238,0.092894968,0.022129732,0.019238915,0.380671969,0.060422236,0.333100752,0.866217255,0.617979768,0.989779231,0.457089552,0.085365854,0,0.611111111,0.126313539,0.044754538,0.220547103,0.599659003,0.617979768,0.723434392,79.8336037,35.83460672,51.1811024,35.91731678,90.97808717,26.98252863,1.7369005,57.195572
W121,C_Deepsoil,6,5,1,0.321917372,0,0.110679211,0.01657171,0.013415461,0.021511157,0.173312595,0.163820746,0.355813584,0.94849612,0.829321772,0,0.417910448,0.024390244,0,0.472222222,0.055339606,0.01716611,0.16856667,0.652154852,0.829321772,0.208955224,74.7370624,57.00493646,50.7874016,60.92405039,89.88633663,41.94687295,3.6872747,9.5940959
W124,C_Deepsoil,5,2,0,0.282644818,0.250874126,0.008392773,0.022179326,0.021772207,0.01084998,0.48237523,0.078404585,0.709272538,0.647022559,0.402152788,0.046197874,0.328358209,0.024390244,0,0.319444444,0.129633449,0.018267171,0.280389908,0.678147548,0.402152788,0.187278042,56.6480038,19.23855403,62.5984252,34.87652763,0,41.33412691,14.9293041,36.1623616
W127,C_Deepsoil,5,2,0,0.285009164,0.295454545,0.133971255,0.006926061,0.0062002,0.019065152,0.643660874,0.060422236,0.544475567,0.843345732,0.226391588,0.221177433,0.203358209,0.012195122,0,0.277777778,0.2147129,0.010730471,0.352041555,0.693910649,0.226391588,0.212267821,31.2019256,0,57.8740157,0,33.63142073,74.58382871,15.8719157,28.0442804
W130,C_Deepsoil,6,2,1,0.481047637,0.463286713,0.349388297,0.605352338,0.316294438,0.085748366,0.633323335,0.127856047,0.661457056,0.872665347,0.865251408,0.010629599,0.251865672,0,0,0.347222222,0.406337505,0.335798381,0.380589691,0.767061201,0.865251408,0.131247635,45.1258438,30.61918289,67.7165354,27.97504651,1.491322996,37.02482695,10.8261713,90.0369004
W136,C_Deepsoil,3,1,0,0.554820926,1,0.152826356,0.101134073,0.056245461,0.027022397,0.574898468,1,0.307197809,0.353775873,0.887476952,0.397383483,0.973880597,1,1,0.840277778,0.576413178,0.06146731,0.787449234,0.330486841,0.887476952,0.68563204,69.7399403,12.83681166,35.0393701,9.140102238,21.23151532,20.55093137,3.5486554,28.0442804
W139,C_Deepsoil,7,5,2,0.358721357,0.367132867,0.166381562,0.143351351,0.207247279,0.136388756,1,0.060422236,0.396284671,0.887037113,0.194697762,0.409239575,0.304104478,0,0,0.375,0.266757214,0.162329129,0.530211118,0.641660892,0.194697762,0.356672026,75.6318351,22.91016493,62.992126,35.62967373,57.04664586,100,44.2750208,55.3505535
